Modele,mAP50 (final),mAP50 (best),mAP50-95,Precision,Rappel,F1 (max),Inference (ms),FPS
YOLOv5s,98.99%,99.00%,76.82%,96.74%,96.27%,96.77%,19.73,50.7
YOLOv8s,98.24%,98.24%,77.00%,95.71%,94.00%,94.84%,17.83,56.1
